date,quantity,price_total
2010-12-01,26754,58405.41
2010-12-02,31304,47725.88
2010-12-03,12546,44366.86
2010-12-04,0,0.0
2010-12-05,16451,31774.95
2010-12-06,21104,53647.96
2010-12-07,25099,99618.2
2010-12-08,23039,45389.98
2010-12-09,18121,50995.6
2010-12-10,20582,58026.87
2010-12-11,0,0.0
2010-12-12,10603,17329.07
2010-12-13,17727,38006.71
2010-12-14,19810,43663.91
2010-12-15,18488,30444.62
2010-12-16,28335,47753.04
2010-12-17,16258,43994.21
2010-12-18,0,0.0
2010-12-19,3644,7123.81
2010-12-20,15793,26789.13
2010-12-21,15304,46541.79
2010-12-22,3213,6199.97
2010-12-23,5610,11786.26
2010-12-24,0,0.0
2010-12-25,0,0.0
2010-12-26,0,0.0
2010-12-27,0,0.0
2010-12-28,0,0.0
2010-12-29,0,0.0
2010-12-30,0,0.0
2010-12-31,0,0.0
2011-01-01,0,0.0
2011-01-02,0,0.0
2011-01-03,0,0.0
2011-01-04,8171,16026.08
2011-01-05,18707,32634.47
2011-01-06,22923,40382.85
2011-01-07,17160,28836.59
2011-01-08,0,0.0
2011-01-09,8117,15520.2
2011-01-10,9042,24569.07
2011-01-11,29408,68655.59
2011-01-12,10108,24146.28
2011-01-13,10134,20624.64
2011-01-14,16951,30802.18
2011-01-15,0,0.0
2011-01-16,4204,7242.06
2011-01-17,13397,29333.02
2011-01-18,82621,95512.47
2011-01-19,17224,25934.57
2011-01-20,7465,18490.15
2011-01-21,15031,31978.72
2011-01-22,0,0.0
2011-01-23,5241,10400.25
2011-01-24,11922,25451.35
2011-01-25,15013,28850.03
2011-01-26,10227,19119.73
2011-01-27,10857,22491.21
2011-01-28,18080,20090.65
2011-01-29,0,0.0
2011-01-30,3431,6615.75
2011-01-31,13415,23640.36
2011-02-01,15024,28237.22
2011-02-02,9392,21201.2
2011-02-03,16729,22691.77
2011-02-04,11348,24932.59
2011-02-05,0,0.0
2011-02-06,2048,3457.11
2011-02-07,8412,23961.05
2011-02-08,10249,20949.92
2011-02-09,7148,16692.58
2011-02-10,11899,14896.460000000001
2011-02-11,10365,22873.1
2011-02-12,0,0.0
2011-02-13,2756,5713.63
2011-02-14,12029,23582.8
2011-02-15,19227,33728.53
2011-02-16,14410,22865.98
2011-02-17,14460,26076.55
2011-02-18,8175,16046.05
2011-02-19,0,0.0
2011-02-20,5353,9624.69
2011-02-21,20896,34736.29
2011-02-22,21502,32498.35
2011-02-23,12985,25411.4
2011-02-24,11634,22604.68
2011-02-25,10573,20595.74
2011-02-26,0,0.0
2011-02-27,4870,9526.5
2011-02-28,9535,21206.37
2011-03-01,9334,18844.59
2011-03-02,8120,17861.95
2011-03-03,19315,36404.0
2011-03-04,12483,18321.31
2011-03-05,0,0.0
2011-03-06,5049,10005.37
2011-03-07,13910,32356.55
2011-03-08,6947,25081.62
2011-03-09,3544,20462.48
2011-03-10,11134,17915.68
2011-03-11,10498,22100.84
2011-03-12,0,0.0
2011-03-13,2749,4148.12
2011-03-14,15731,24053.760000000002
2011-03-15,7804,20103.89
2011-03-16,12942,21948.36
2011-03-17,19706,35544.17
2011-03-18,13787,27428.08
2011-03-19,0,0.0
2011-03-20,14059,21546.49
2011-03-21,10311,16715.52
2011-03-22,14964,31515.579999999998
2011-03-23,11302,24091.67
2011-03-24,18116,36281.69
2011-03-25,13646,30643.84
2011-03-26,0,0.0
2011-03-27,4530,9241.35
2011-03-28,12705,22637.72
2011-03-29,32138,70188.77
2011-03-30,19472,31326.88
2011-03-31,16779,34167.5
2011-04-01,17359,24260.32
2011-04-02,0,0.0
2011-04-03,5679,6943.15
2011-04-04,12642,30806.12
2011-04-05,14826,29777.77
2011-04-06,7947,16406.37
2011-04-07,10085,17929.48
2011-04-08,9265,25295.64
2011-04-09,0,0.0
2011-04-10,5632,9913.98
2011-04-11,12789,20981.02
2011-04-12,15278,25570.3
2011-04-13,18529,24191.420000000002
2011-04-14,17785,36104.07
2011-04-15,12570,28027.921
2011-04-16,0,0.0
2011-04-17,8032,12278.76
2011-04-18,31494,56026.18
2011-04-19,14248,23971.08
2011-04-20,18133,28670.47
2011-04-21,18128,31973.63
2011-04-22,0,0.0
2011-04-23,0,0.0
2011-04-24,0,0.0
2011-04-25,0,0.0
2011-04-26,15925,30856.03
2011-04-27,17735,25579.54
2011-04-28,13578,22501.55
2011-04-29,0,0.0
2011-04-30,0,0.0
2011-05-01,3819,6973.66
2011-05-02,0,0.0
2011-05-03,11500,34065.2
2011-05-04,15299,27009.91
2011-05-05,17290,28807.43
2011-05-06,18062,32257.170000000002
2011-05-07,0,0.0
2011-05-08,10256,18004.87
2011-05-09,12969,27899.71
2011-05-10,19405,47009.53
2011-05-11,16015,33171.55
2011-05-12,37616,61903.09
2011-05-13,15078,30749.95
2011-05-14,0,0.0
2011-05-15,4759,9320.5
2011-05-16,12231,35035.92
2011-05-17,26615,53642.87
2011-05-18,18169,33069.08
2011-05-19,17658,33481.31
2011-05-20,15000,26337.85
2011-05-21,0,0.0
2011-05-22,12749,24231.09
2011-05-23,16252,33677.85
2011-05-24,15806,37660.04
2011-05-25,11868,24408.12
2011-05-26,16036,33002.99
2011-05-27,16796,28442.03
2011-05-28,0,0.0
2011-05-29,4124,7394.3
2011-05-30,0,0.0
2011-05-31,11763,22714.06
2011-06-01,10990,20595.69
2011-06-02,13983,32826.14
2011-06-03,7261,15803.93
2011-06-04,0,0.0
2011-06-05,13374,25252.49
2011-06-06,9055,16785.95
2011-06-07,18377,37703.41
2011-06-08,18428,39913.01
2011-06-09,29035,43783.58
2011-06-10,8468,62234.439999999995
2011-06-11,0,0.0
2011-06-12,9491,12517.06
2011-06-13,10875,21635.89
2011-06-14,-13634,40474.01
2011-06-15,27478,44614.41
2011-06-16,17955,33571.82
2011-06-17,10572,18390.01
2011-06-18,0,0.0
2011-06-19,14997,22138.88
2011-06-20,14919,32085.0
2011-06-21,8466,24636.97
2011-06-22,15188,20806.79
2011-06-23,14008,24026.46
2011-06-24,8964,17437.25
2011-06-25,0,0.0
2011-06-26,3786,7082.49
2011-06-27,9502,16199.44
2011-06-28,19780,35607.32
2011-06-29,9120,18349.329999999998
2011-06-30,21527,44040.95
2011-07-01,6999,11880.88
2011-07-02,0,0.0
2011-07-03,3117,6032.39
2011-07-04,15175,43482.03
2011-07-05,21882,39920.39
2011-07-06,19323,26387.54
2011-07-07,19753,32445.71
2011-07-08,11751,27082.1
2011-07-09,0,0.0
2011-07-10,4255,5993.87
2011-07-11,14027,21387.38
2011-07-12,13915,26262.55
2011-07-13,16300,22641.94
2011-07-14,15763,30089.67
2011-07-15,7092,14285.49
2011-07-16,0,0.0
2011-07-17,11044,17194.56
2011-07-18,13624,37754.08
2011-07-19,19079,35944.29
2011-07-20,17571,33308.24
2011-07-21,19083,30803.45
2011-07-22,10054,20124.86
2011-07-23,0,0.0
2011-07-24,17670,27099.46
2011-07-25,15269,26510.91
2011-07-26,13504,21247.490999999998
2011-07-27,13216,24838.420000000002
2011-07-28,27125,50863.590000000004
2011-07-29,11320,18061.46
2011-07-30,0,0.0
2011-07-31,14222,18970.24
2011-08-01,9807,20629.36
2011-08-02,15721,26580.6
2011-08-03,16432,28113.14
2011-08-04,37895,60796.3
2011-08-05,11498,19965.85
2011-08-06,0,0.0
2011-08-07,5186,7578.91
2011-08-08,12779,22547.69
2011-08-09,15806,27679.44
2011-08-10,13570,27326.14
2011-08-11,38487,70156.25
2011-08-12,10942,7941.599999999999
2011-08-13,0,0.0
2011-08-14,3180,5718.57
2011-08-15,9585,16776.55
2011-08-16,11238,19239.66
2011-08-17,24872,51301.92
2011-08-18,33307,53975.08
2011-08-19,10028,16360.1
2011-08-20,0,0.0
2011-08-21,7221,12685.960000000001
2011-08-22,15556,29651.46
2011-08-23,13409,22471.44
2011-08-24,29522,49035.36
2011-08-25,13435,23775.9
2011-08-26,16763,23763.73
2011-08-27,0,0.0
2011-08-28,6774,10805.03
2011-08-29,0,0.0
2011-08-30,10304,31866.31
2011-08-31,11819,25380.17
2011-09-01,25674,33489.590000000004
2011-09-02,10600,41342.59
2011-09-03,0,0.0
2011-09-04,9691,16490.55
2011-09-05,18162,28668.28
2011-09-06,13805,24115.72
2011-09-07,14515,30998.24
2011-09-08,16264,25104.74
2011-09-09,16239,30075.62
2011-09-10,0,0.0
2011-09-11,21146,35511.67
2011-09-12,17523,29738.33
2011-09-13,36841,54797.45
2011-09-14,8931,22811.87
2011-09-15,29013,77525.42
2011-09-16,15226,27724.22
2011-09-17,0,0.0
2011-09-18,8994,15745.73
2011-09-19,28319,47362.95
2011-09-20,42776,107813.64
2011-09-21,19928,44328.56
2011-09-22,32186,57854.82
2011-09-23,19820,37098.85
2011-09-24,0,0.0
2011-09-25,19288,31062.661
2011-09-26,14134,27581.240999999998
2011-09-27,21349,35546.65
2011-09-28,24301,41398.67
2011-09-29,27480,46018.33
2011-09-30,19035,38101.52
2011-10-01,0,0.0
2011-10-02,8385,11634.53
2011-10-03,24873,66376.82
2011-10-04,19940,48304.3
2011-10-05,45243,73832.63
2011-10-06,34704,62469.89
2011-10-07,28822,51117.29
2011-10-08,0,0.0
2011-10-09,7556,12524.4
2011-10-10,24818,45037.9
2011-10-11,25575,50825.49
2011-10-12,16226,28991.79
2011-10-13,17105,33928.83
2011-10-14,17157,35078.48
2011-10-15,0,0.0
2011-10-16,8770,22010.96
2011-10-17,28707,46613.08
2011-10-18,28849,43819.99
2011-10-19,18137,40245.33
2011-10-20,35966,57501.55
2011-10-21,23796,61118.909999999996
2011-10-22,0,0.0
2011-10-23,7073,12339.16
2011-10-24,25556,48106.89
2011-10-25,24972,41314.64
2011-10-26,20911,38059.43
2011-10-27,32590,56589.93
2011-10-28,23869,40565.7
2011-10-29,0,0.0
2011-10-30,19883,34069.57
2011-10-31,4555,56557.34
2011-11-01,15893,27108.1
2011-11-02,28768,45888.34
2011-11-03,34173,63561.49
2011-11-04,34296,61656.08
2011-11-05,0,0.0
2011-11-06,22671,41643.2
2011-11-07,27626,84724.48
2011-11-08,26523,57700.24
2011-11-09,37634,65301.53
2011-11-10,37756,70005.23
2011-11-11,27574,52750.4
2011-11-12,0,0.0
2011-11-13,18197,29615.48
2011-11-14,45796,113663.34
2011-11-15,29082,58560.98
2011-11-16,27413,61051.88
2011-11-17,29187,57260.7
2011-11-18,23256,50028.94
2011-11-19,0,0.0
2011-11-20,18976,34141.03
2011-11-21,24300,48905.12
2011-11-22,34411,62034.62
2011-11-23,37469,79616.85
2011-11-24,25113,50771.49
2011-11-25,31105,50528.94
2011-11-26,0,0.0
2011-11-27,10948,19781.170000000002
2011-11-28,28521,55286.36
2011-11-29,30600,72368.73
2011-11-30,25322,57057.71
2011-12-01,26266,50268.33
2011-12-02,27146,57321.31
2011-12-03,0,0.0
2011-12-04,11878,23847.89
2011-12-05,43792,87787.26
2011-12-06,30133,56713.21
2011-12-07,37722,71582.27
2011-12-08,34293,81410.86
2011-12-09,93979,200920.6
